Year,Startup,Sector,City,Hiring_Count,Layoff_Count
2023,Zomato,FoodTech,Bengaluru,420,60
2023,Swiggy,FoodTech,Bengaluru,380,90
2023,Byjus,EdTech,Bengaluru,300,250
2023,Paytm,FinTech,Noida,260,180
2023,Razorpay,FinTech,Bengaluru,340,70
2023,Freshworks,SaaS,Chennai,290,40
2023,Ola,Mobility,Bengaluru,310,120
2024,Zomato,FoodTech,Bengaluru,180,220
2024,Swiggy,FoodTech,Bengaluru,200,190
2024,Byjus,EdTech,Bengaluru,90,420
2024,Paytm,FinTech,Noida,140,260
2024,Razorpay,FinTech,Bengaluru,210,110
2024,Freshworks,SaaS,Chennai,230,60
2024,Ola,Mobility,Bengaluru,170,210
2025,Zomato,FoodTech,Bengaluru,320,90
2025,Swiggy,FoodTech,Bengaluru,340,80
2025,Byjus,EdTech,Bengaluru,150,120
2025,Paytm,FinTech,Noida,260,100
2025,Razorpay,FinTech,Bengaluru,360,60
2025,Freshworks,SaaS,Chennai,310,50
2025,Ola,Mobility,Bengaluru,290,70
